Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),File format type (product.metafields.shopify.file-format-type),Fit (product.metafields.shopify.fit),Frame style (product.metafields.shopify.frame-style),Neckline (product.metafields.shopify.neckline),Operating system (product.metafields.shopify.operating-system),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Theme (product.metafields.shopify.theme),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Wallpaper theme (product.metafields.shopify.wallpaper-theme),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
tops,,,,,,,,,Quarter Zip Black,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-107.jpg?v=1769614680,kg,,115.50,
tops,,,,,,,,,Quarter Zip Black,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_sleeve_tee_back_9e351298-0a9f-4576-902c-f9be0f38e60c.png?v=1768832206,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-107.jpg?v=1769614680,kg,,115.50,
tops,,,,,,,,,Dusk Before Dawn Tee,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9109.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Dusk Before Dawn Tee,,,M,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9109.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Dusk Before Dawn Tee,,,L,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9109.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Dusk Before Dawn Tee,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9109.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Dusk Before Dawn Tee,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9109.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_ryanlcryanlcryan.png?v=1769614680,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,kg,,115.50,
tops,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,M,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/j_adore.jpg?v=1769614680,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,kg,,115.50,
tops,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,L,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,kg,,115.50,
tops,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,XL,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,kg,,115.50,
tops,,,,,,,,,Intercessory Dept Long sleeve Real tree,,,XXL,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,kg,,115.50,
tops,,,,,,,,,Cream Mothers Smile,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Cream Mothers Smile,,,M,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Cream Mothers Smile,,,L,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Cream Mothers Smile,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Cream Mothers Smile,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Dry Bones White,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,kg,,115.50,
tops,,,,,,,,,Dry Bones White,,,M,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,kg,,115.50,
tops,,,,,,,,,Dry Bones White,,,L,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,kg,,115.50,
tops,,,,,,,,,Dry Bones White,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,kg,,115.50,
tops,,,,,,,,,Dry Bones White,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-30.jpg?v=1767260940,kg,,115.50,
tops,,,,,,,,,Olive Grove,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,kg,,115.50,
tops,,,,,,,,,Olive Grove,,,M,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,kg,,115.50,
tops,,,,,,,,,Olive Grove,,,L,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,kg,,115.50,
tops,,,,,,,,,Olive Grove,,,XL,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,kg,,115.50,
tops,,,,,,,,,Olive Grove,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pink_olive_grove.png?v=1769614812,kg,,115.50,
tops,,,,,,,,,Mothers Smile Grey,,,S,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Mothers Smile Grey,,,M,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Mothers Smile Grey,,,L,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Mothers Smile Grey,,,XL,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Mothers Smile Grey,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-136.jpg?v=1769614812,kg,,115.50,
tops,,,,,,,,,Zion Airways Coffee Brown,,,S,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,kg,,115.50,
tops,,,,,,,,,Zion Airways Coffee Brown,,,M,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,kg,,115.50,
tops,,,,,,,,,Zion Airways Coffee Brown,,,L,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,kg,,115.50,
tops,,,,,,,,,Zion Airways Coffee Brown,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,kg,,115.50,
tops,,,,,,,,,Zion Airways Coffee Brown,,,XXL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,kg,,115.50,
flare-sweatpants,Flare Sweatpants,<p>These are addictive trust me</p>,My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",false,Color,Black,,Size,S,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/pants.jpg?v=1769412091,1,"",false,,,,,,navy; beige; gray; black-3,,,,,,,,,,female,,,,,,,,,,kg,,115.50,draft
flare-sweatpants,,,,,,,,,Black,,,M,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_oe4iwyoe4iwyoe4i_2ac78782-ed14-4fd5-a6bb-5df75c964d24.png?v=1769412091,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Black,,,L,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_73e4qe73e4qe73e4.png?v=1769412091,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Black,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Gemini_Generated_Image_m1vnttm1vnttm1vn.png?v=1769412091,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Black,,,XXL,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Navy Blue,,,S,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Navy Blue,,,M,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Navy Blue,,,L,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Navy Blue,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Navy Blue,,,XXL,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Khaki,,,S,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Khaki,,,M,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Khaki,,,L,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Khaki,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Khaki,,,XXL,,,,,,300.0,shopify,3,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Grey,,,S,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Grey,,,M,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Grey,,,L,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Grey,,,XL,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
flare-sweatpants,,,,,,,,,Grey,,,XXL,,,,,,300.0,shopify,2,deny,manual,320.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
1nri-inner-circle-membership,1NRI Inner Circle Membership,<p>The 1NRI Inner Circle Membership. Exclusive. For those who get it.</p>,1NRI,Product Add-Ons > Subscription Services,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,50,deny,manual,400.00,,false,true,,,,,"",https://cdn.shopify.com/s/files/1/0679/4235/1104/files/INNERCIRCLE.png?v=1768435784,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,draft
zion-airways-coffee-brown,Zion Airways Coffee Brown,"<p>Your favorite jersey in a brand new collar way. Cropped, boxy , perfection.</p>",My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,S,,Coffee Brown,Coffee Brown,,,,,,300.0,shopify,1,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/IMG-9756.png?v=1767871796,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
zion-airways-coffee-brown,,,,,,,,,M,,,Coffee Brown,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
zion-airways-coffee-brown,,,,,,,,,L,,,Coffee Brown,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
zion-airways-coffee-brown,,,,,,,,,XL,,,Coffee Brown,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
zion-airways-coffee-brown,,,,,,,,,XXL,,,Coffee Brown,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
quarter-zip-black,Quarter zip Black,<p>😅Need I say more?</p>,My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,S,,Black,Black,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-107.jpg?v=1769614680,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
quarter-zip-black,,,,,,,,,M,,,Black,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-104.jpg?v=1767263119,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
quarter-zip-black,,,,,,,,,L,,,Black,,,,,,300.0,shopify,1,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-89.jpg?v=1767263119,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
quarter-zip-black,,,,,,,,,XL,,,Black,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-97.jpg?v=1767263118,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
quarter-zip-black,,,,,,,,,XXL,,,Black,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up-1,Dusk Before Dawn Button up,<p>Perfect button up doesn’t ex-</p>,My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,S,,Beige,Beige,,,,,,300.0,shopify,1,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-39.jpg?v=1767262706,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
dusk-before-dawn-button-up-1,,,,,,,,,M,,,Beige,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-48.jpg?v=1767262706,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up-1,,,,,,,,,L,,,Beige,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up-1,,,,,,,,,XL,,,Beige,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up-1,,,,,,,,,XXL,,,Beige,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up,Dusk Before Dawn Button up,<p>Perfect button up doesn’t ex-</p>,My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,S,,Black,Black,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-118.jpg?v=1769614812,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
dusk-before-dawn-button-up,,,,,,,,,M,,,Black,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-65.jpg?v=1767262599,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up,,,,,,,,,L,,,Black,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-114.jpg?v=1767262599,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up,,,,,,,,,XL,,,Black,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-70.jpg?v=1767262599,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
dusk-before-dawn-button-up,,,,,,,,,XXL,,,Black,,,,,,300.0,shopify,0,deny,manual,320.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
intercessory-dept-hoodie-real-tree,Intercessory Dept Long sleeve Tee Real Tree,<p>This tee will change your life. Trust me </p>,My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,S,,Real Tree,Real tree,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/close_up_55f04de3-cb45-4ed2-903e-feb129cc0d0c.png?v=1768832208,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
intercessory-dept-hoodie-real-tree,,,,,,,,,M,,,Real tree,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_sleeve_tee_back_9e351298-0a9f-4576-902c-f9be0f38e60c.png?v=1768832206,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
intercessory-dept-hoodie-real-tree,,,,,,,,,L,,,Real tree,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/Long_Sleeve_tee_front_dcea76e5-ad02-4489-bb71-7d4c7b94f698.png?v=1768832207,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
intercessory-dept-hoodie-real-tree,,,,,,,,,XL,,,Real tree,,,,,,300.0,shopify,3,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
intercessory-dept-hoodie-real-tree,,,,,,,,,XXL,,,Real tree,,,,,,300.0,shopify,1,deny,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
intercessory-dept-hoodie-real-tree,,,,,,,,,3XL,,,Real tree,,,,,,300.0,shopify,0,deny,manual,350.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,
cream-mothers-smile-x-1nri-collab,Cream Mothers Smile x 1NRI Collab,"<p>Two separate colorways, featuring two separate designs, the limited Mothers Smile x 1NRI pieces features a plain front and with puff print graphics at the back. Shirts are reverse stitched with a boxy fit.</p>",My Store,Apparel & Accessories > Clothing,"","Inri Mainline, Men, T Shirts, Women",true,Size,M,,Color,Grey,,,,,,300.0,shopify,1,deny,manual,300.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0679/4235/1104/files/1NRI23RDDEC-78.jpg?v=1769614812,1,"",false,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,115.50,active
